name	region	
MT741455|FrenchGuiana|2012-01-15	América do Sul	
MT741459|FrenchGuiana|2013-01-15	América do Sul	
MT741457|FrenchGuiana|2013-01-15	América do Sul	
MT741458|FrenchGuiana|2013-01-15	América do Sul	
MT741460|FrenchGuiana|2013-01-15	América do Sul	
MT741462|FrenchGuiana|2014-01-15	América do Sul	
MT741461|FrenchGuiana|2014-01-15	América do Sul	
MT741463|FrenchGuiana|2015-01-15	América do Sul	
MT741464|FrenchGuiana|2015-01-15	América do Sul	
OK648372|Peru|2015-01-15	América do Sul	
MT741470|FrenchGuiana|2016-01-15	América do Sul	
MT741465|FrenchGuiana|2016-01-15	América do Sul	
MT741471|FrenchGuiana|2016-01-15	América do Sul	
MT741468|FrenchGuiana|2016-01-15	América do Sul	
MT741467|FrenchGuiana|2016-01-15	América do Sul	
MT741469|FrenchGuiana|2016-01-15	América do Sul	
MT741466|FrenchGuiana|2016-01-15	América do Sul	
MT741474|FrenchGuiana|2017-01-15	América do Sul	
MT741473|FrenchGuiana|2017-01-15	América do Sul	
MT741475|FrenchGuiana|2017-01-15	América do Sul	
MT741472|FrenchGuiana|2017-01-15	América do Sul	
OQ377039|BR|2018-01-15	América do Sul	
OQ377040|BR|2019-01-15	América do Sul	
AB640464|Japan|2003-01-15	Ásia	
FJ009814|Russia|2006-01-15	Ásia	
KC352099|China|2007-01-15	Ásia	
AB866775|Japan|2008-01-15	Ásia	
AB866092|Japan|2009-01-15	Ásia	
KT378870|China|2009-01-15	Ásia	
MN908888|China|2010-01-15	Ásia	
AB866302|Japan|2011-01-15	Ásia	
MW954811|China|2012-01-15	Ásia	
KP121018|Turkey|2012-01-15	Ásia	
AB864437|Japan|2012-01-15	Ásia	
MN908890|China|2012-01-15	Ásia	
LC170741|Japan|2013-01-15	Ásia	
KP121143|Turkey|2014-01-15	Ásia	
KP121154|Turkey|2014-01-15	Ásia	
LC162168|Japan|2014-01-15	Ásia	
MH666975|Russia|2015-01-15	Ásia	
KT284443|Turkey|2015-01-15	Ásia	
KT284450|Turkey|2015-01-15	Ásia	
KT284517|Turkey|2015-01-15	Ásia	
KT284441|Turkey|2015-01-15	Ásia	
LC163228|Japan|2015-01-15	Ásia	
OM856623|RU|2018-01-15	Ásia	
FJ784197|Brazil|Goias|Goiania|2003-01-15	Centro-Oeste-BR	
FJ784166|Brazil|Goias|Goiania|2003-01-15	Centro-Oeste-BR	
FJ784210|Brazil|Goias|Goiania|2003-01-15	Centro-Oeste-BR	
FJ784217|Brazil|Goias|Goiania|2003-01-15	Centro-Oeste-BR	
FJ784224|Brazil|Goias|Goiania|2003-01-15	Centro-Oeste-BR	
FJ784209|Brazil|Goias|Goiania|2003-01-15	Centro-Oeste-BR	
FJ784206|Brazil|Goias|Goiania|2003-01-15	Centro-Oeste-BR	
FJ784194|Brazil|Goias|Goiania|2003-01-15	Centro-Oeste-BR	
FJ784189|Brazil|Goias|Goiania|2003-01-15	Centro-Oeste-BR	
FJ548805|Brazil|Goias|Goiania|2007-01-15	Centro-Oeste-BR	
FJ548818|Brazil|Goias|Goiania|2007-01-15	Centro-Oeste-BR	
FJ594169|Brazil|Goias|Goiania|2007-01-15	Centro-Oeste-BR	
FJ548794|Brazil|Goias|Goiania|2007-01-15	Centro-Oeste-BR	
FJ594185|Brazil|Goias|Goiania|2007-01-15	Centro-Oeste-BR	
FJ638432|Brazil|Goias|Goiania|2007-01-15	Centro-Oeste-BR	
FJ638437|Brazil|Goias|Goiania|2007-01-15	Centro-Oeste-BR	
FJ594180|Brazil|Goias|Goiania|2007-01-15	Centro-Oeste-BR	
JF342287|Brazil|MatoGrossoDoSul|CampoGrande|2008-01-15	Centro-Oeste-BR	
JN114131|Brazil|Goias|Goiania|2008-01-15	Centro-Oeste-BR	
HQ638716|Brazil|MatoGrosso|2008-01-15	Centro-Oeste-BR	
JF342299|Brazil|MatoGrossoDoSul|CampoGrande|2008-01-15	Centro-Oeste-BR	
JF342291|Brazil|MatoGrossoDoSul|CampoGrande|2008-01-15	Centro-Oeste-BR	
JF342306|Brazil|MatoGrossoDoSul|CampoGrande|2008-01-15	Centro-Oeste-BR	
KT355914|Brazil|DistritoFederal|Brasilia|2009-01-15	Centro-Oeste-BR	
JN114167|Brazil|Goias|Goiania|2009-01-15	Centro-Oeste-BR	
HQ638791|Brazil|MatoGrosso|Cuiaba|2009-01-15	Centro-Oeste-BR	
JN662426|Brazil|Goias|Goiania|2009-01-15	Centro-Oeste-BR	
JN114166|Brazil|Goias|Goiania|2009-01-15	Centro-Oeste-BR	
HQ638774|Brazil|MatoGrosso|Cuiaba|2009-01-15	Centro-Oeste-BR	
JN114142|Brazil|Goias|Goiania|2009-01-15	Centro-Oeste-BR	
JN114182|Brazil|Goias|Goiania|2009-01-15	Centro-Oeste-BR	
JN114157|Brazil|Goias|Goiania|2009-01-15	Centro-Oeste-BR	
HQ638751|Brazil|MatoGrosso|Cuiaba|2009-01-15	Centro-Oeste-BR	
JN114212|Brazil|Goias|Goiania|2010-01-15	Centro-Oeste-BR	
JN114208|Brazil|Goias|Goiania|2010-01-15	Centro-Oeste-BR	
MF545198|Brazil|MatoGrossoDoSul|2011-01-15	Centro-Oeste-BR	
MF545208|Brazil|MatoGrossoDoSul|2011-01-15	Centro-Oeste-BR	
MF545197|Brazil|MatoGrossoDoSul|2011-01-15	Centro-Oeste-BR	
MF545195|Brazil|MatoGrossoDoSul|2011-01-15	Centro-Oeste-BR	
MF545232|Brazil|MatoGrossoDoSul|2011-01-15	Centro-Oeste-BR	
MF545215|Brazil|MatoGrossoDoSul|2011-01-15	Centro-Oeste-BR	
KC249752|Brazil|Goias|2011-01-15	Centro-Oeste-BR	
MF545199|Brazil|MatoGrossoDoSul|2011-01-15	Centro-Oeste-BR	
MF545202|Brazil|MatoGrossoDoSul|2011-01-15	Centro-Oeste-BR	
MF545204|Brazil|MatoGrossoDoSul|2011-01-15	Centro-Oeste-BR	
MF545227|Brazil|MatoGrossoDoSul|2011-01-15	Centro-Oeste-BR	
MF545212|Brazil|MatoGrossoDoSul|2011-01-15	Centro-Oeste-BR	
MF545224|Brazil|MatoGrossoDoSul|2011-01-15	Centro-Oeste-BR	
MF545225|Brazil|MatoGrossoDoSul|2011-01-15	Centro-Oeste-BR	
MF545221|Brazil|MatoGrossoDoSul|2011-01-15	Centro-Oeste-BR	
MF545231|Brazil|MatoGrossoDoSul|2011-01-15	Centro-Oeste-BR	
MF545228|Brazil|MatoGrossoDoSul|2011-01-15	Centro-Oeste-BR	
KJ658999|Brazil|Goias|2012-01-15	Centro-Oeste-BR	
KJ659002|Brazil|Goias|2012-01-15	Centro-Oeste-BR	
ON423229|Brazil|MatoGrossoDoSul|2013-01-15	Centro-Oeste-BR	
MN509141|Brazil|Goias|2014-01-15	Centro-Oeste-BR	
KEXV01005229|Brazil|Goias|2014-01-15	Centro-Oeste-BR	
KEXV01027467|Brazil|MatoGrossoDoSul|2014-01-15	Centro-Oeste-BR	
KEXV01027481|Brazil|MatoGrossoDoSul|2014-01-15	Centro-Oeste-BR	
